hospital_id,treatment_code,treatment_count,treatment_count_label
771003,KAHKO0,0,sehr wenige
771003,KAHM0,0,sehr wenige
771003,KAKIA,0,sehr wenige
771003,KAKIB,425,sehr viele
771003,KALE0,448,sehr viele
771003,KABK0,463,sehr viele
771003,KALK0,17,sehr wenige
771003,KADK0,134,wenige
771003,KAOM0,39,sehr wenige
771003,KAPRK0,0,sehr wenige
771003,KAPK0,25,sehr wenige
771003,KAEH0,257,viele
771003,KARH0,18,sehr wenige
771003,KARK0,14,sehr wenige
771003,KAEK0,158,wenige
771003,KASA0,6,sehr wenige
771003,KAMUS0,0,sehr wenige
771003,KAPAR0,6,sehr wenige
771003,KAEN0,2466,sehr viele
771003,KABAA0,18,sehr wenige
771003,KASCHK0,223,mittel
771003,KAOH0,25,sehr wenige
771011,KAHKO0,0,sehr wenige
771011,KAHM0,0,sehr wenige
771011,KAKIA,0,sehr wenige
771011,KAKIB,439,sehr viele
771011,KALE0,406,sehr viele
771011,KABK0,0,sehr wenige
771011,KALK0,0,sehr wenige
771011,KADK0,79,sehr wenige
771011,KAOM0,6,sehr wenige
771011,KAPRK0,0,sehr wenige
771011,KAPK0,0,sehr wenige
771011,KAEH0,46,sehr wenige
771011,KARH0,9,sehr wenige
771011,KARK0,7,sehr wenige
771011,KAEK0,83,sehr wenige
771011,KASA0,0,sehr wenige
771011,KAMUS0,0,sehr wenige
771011,KAPAR0,5,sehr wenige
771011,KAEN0,83,sehr wenige
771011,KABAA0,0,sehr wenige
771011,KASCHK0,0,sehr wenige
771011,KAOH0,0,sehr wenige
771012,KAHKO0,0,sehr wenige
771012,KAHM0,0,sehr wenige
771012,KAKIA,0,sehr wenige
771012,KAKIB,0,sehr wenige
771012,KALE0,514,sehr viele
771012,KABK0,182,wenige
771012,KALK0,0,sehr wenige
771012,KADK0,47,sehr wenige
771012,KAOM0,0,sehr wenige
771012,KAPRK0,0,sehr wenige
771012,KAPK0,0,sehr wenige
771012,KAEH0,0,sehr wenige
771012,KARH0,0,sehr wenige
771012,KARK0,0,sehr wenige
771012,KAEK0,0,sehr wenige
771012,KASA0,581,sehr viele
771012,KAMUS0,63,sehr wenige
771012,KAPAR0,27,sehr wenige
771012,KAEN0,857,sehr viele
771012,KABAA0,11,sehr wenige
771012,KASCHK0,425,sehr viele
771012,KAOH0,53,sehr wenige
771015,KAHKO0,0,sehr wenige
771015,KAHM0,0,sehr wenige
771015,KAKIA,0,sehr wenige
771015,KAKIB,0,sehr wenige
771015,KALE0,89,sehr wenige
771015,KABK0,0,sehr wenige
771015,KALK0,0,sehr wenige
771015,KADK0,0,sehr wenige
771015,KAOM0,0,sehr wenige
771015,KAPRK0,0,sehr wenige
771015,KAPK0,0,sehr wenige
771015,KAEH0,0,sehr wenige
771015,KARH0,0,sehr wenige
771015,KARK0,0,sehr wenige
771015,KAEK0,0,sehr wenige
771015,KASA0,0,sehr wenige
771015,KAMUS0,0,sehr wenige
771015,KAPAR0,0,sehr wenige
771015,KAEN0,0,sehr wenige
771015,KABAA0,0,sehr wenige
771015,KASCHK0,0,sehr wenige
771015,KAOH0,0,sehr wenige
771016,KAHKO0,0,sehr wenige
771016,KAHM0,0,sehr wenige
771016,KAKIA,0,sehr wenige
771016,KAKIB,286,viele
771016,KALE0,450,sehr viele
771016,KABK0,114,sehr wenige
771016,KALK0,13,sehr wenige
771016,KADK0,75,sehr wenige
771016,KAOM0,9,sehr wenige
771016,KAPRK0,151,wenige
771016,KAPK0,10,sehr wenige
771016,KAEH0,159,wenige
771016,KARH0,15,sehr wenige
771016,KARK0,11,sehr wenige
771016,KAEK0,155,wenige
771016,KASA0,464,sehr viele
771016,KAMUS0,46,sehr wenige
771016,KAPAR0,52,sehr wenige
771016,KAEN0,848,sehr viele
771016,KABAA0,14,sehr wenige
771016,KASCHK0,190,wenige
771016,KAOH0,43,sehr wenige
771021,KAHKO0,0,sehr wenige
771021,KAHM0,0,sehr wenige
771021,KAKIA,0,sehr wenige
771021,KAKIB,0,sehr wenige
771021,KALE0,4,sehr wenige
771021,KABK0,0,sehr wenige
771021,KALK0,0,sehr wenige
771021,KADK0,0,sehr wenige
771021,KAOM0,0,sehr wenige
771021,KAPRK0,0,sehr wenige
771021,KAPK0,0,sehr wenige
771021,KAEH0,0,sehr wenige
771021,KARH0,0,sehr wenige
771021,KARK0,0,sehr wenige
771021,KAEK0,0,sehr wenige
771021,KASA0,0,sehr wenige
771021,KAMUS0,0,sehr wenige
771021,KAPAR0,131,wenige
771021,KAEN0,0,sehr wenige
771021,KABAA0,0,sehr wenige
771021,KASCHK0,0,sehr wenige
771021,KAOH0,0,sehr wenige
771028,KAHKO0,0,sehr wenige
771028,KAHM0,0,sehr wenige
771028,KAKIA,0,sehr wenige
771028,KAKIB,0,sehr wenige
771028,KALE0,151,wenige
771028,KABK0,0,sehr wenige
771028,KALK0,0,sehr wenige
771028,KADK0,18,sehr wenige
771028,KAOM0,0,sehr wenige
771028,KAPRK0,0,sehr wenige
771028,KAPK0,0,sehr wenige
771028,KAEH0,99,sehr wenige
771028,KARH0,0,sehr wenige
771028,KARK0,9,sehr wenige
771028,KAEK0,168,wenige
771028,KASA0,0,sehr wenige
771028,KAMUS0,0,sehr wenige
771028,KAPAR0,0,sehr wenige
771028,KAEN0,0,sehr wenige
771028,KABAA0,0,sehr wenige
771028,KASCHK0,0,sehr wenige
771028,KAOH0,0,sehr wenige
771029,KAHKO0,0,sehr wenige
771029,KAHM0,0,sehr wenige
771029,KAKIA,0,sehr wenige
771029,KAKIB,0,sehr wenige
771029,KALE0,473,sehr viele
771029,KABK0,154,wenige
771029,KALK0,0,sehr wenige
771029,KADK0,95,sehr wenige
771029,KAOM0,11,sehr wenige
771029,KAPRK0,0,sehr wenige
771029,KAPK0,0,sehr wenige
771029,KAEH0,0,sehr wenige
771029,KARH0,0,sehr wenige
771029,KARK0,0,sehr wenige
771029,KAEK0,0,sehr wenige
771029,KASA0,0,sehr wenige
771029,KAMUS0,0,sehr wenige
771029,KAPAR0,0,sehr wenige
771029,KAEN0,738,sehr viele
771029,KABAA0,0,sehr wenige
771029,KASCHK0,0,sehr wenige
771029,KAOH0,0,sehr wenige
771030,KAHKO0,0,sehr wenige
771030,KAHM0,0,sehr wenige
771030,KAKIA,0,sehr wenige
771030,KAKIB,567,sehr viele
771030,KALE0,396,sehr viele
771030,KABK0,0,sehr wenige
771030,KALK0,0,sehr wenige
771030,KADK0,0,sehr wenige
771030,KAOM0,0,sehr wenige
771030,KAPRK0,0,sehr wenige
771030,KAPK0,0,sehr wenige
771030,KAEH0,5,sehr wenige
771030,KARH0,4,sehr wenige
771030,KARK0,0,sehr wenige
771030,KAEK0,0,sehr wenige
771030,KASA0,620,sehr viele
771030,KAMUS0,51,sehr wenige
771030,KAPAR0,69,sehr wenige
771030,KAEN0,0,sehr wenige
771030,KABAA0,12,sehr wenige
771030,KASCHK0,171,wenige
771030,KAOH0,25,sehr wenige
771031,KAHKO0,0,sehr wenige
771031,KAHM0,0,sehr wenige
771031,KAKIA,0,sehr wenige
771031,KAKIB,0,sehr wenige
771031,KALE0,0,sehr wenige
771031,KABK0,0,sehr wenige
771031,KALK0,0,sehr wenige
771031,KADK0,0,sehr wenige
771031,KAOM0,0,sehr wenige
771031,KAPRK0,0,sehr wenige
771031,KAPK0,0,sehr wenige
771031,KAEH0,0,sehr wenige
771031,KARH0,0,sehr wenige
771031,KARK0,0,sehr wenige
771031,KAEK0,0,sehr wenige
771031,KASA0,0,sehr wenige
771031,KAMUS0,0,sehr wenige
771031,KAPAR0,6,sehr wenige
771031,KAEN0,0,sehr wenige
771031,KABAA0,0,sehr wenige
771031,KASCHK0,0,sehr wenige
771031,KAOH0,0,sehr wenige
771039,KAHKO0,0,sehr wenige
771039,KAHM0,0,sehr wenige
771039,KAKIA,0,sehr wenige
771039,KAKIB,28,sehr wenige
771039,KALE0,363,sehr viele
771039,KABK0,332,viele
771039,KALK0,0,sehr wenige
771039,KADK0,0,sehr wenige
771039,KAOM0,0,sehr wenige
771039,KAPRK0,0,sehr wenige
771039,KAPK0,0,sehr wenige
771039,KAEH0,0,sehr wenige
771039,KARH0,0,sehr wenige
771039,KARK0,0,sehr wenige
771039,KAEK0,0,sehr wenige
771039,KASA0,0,sehr wenige
771039,KAMUS0,0,sehr wenige
771039,KAPAR0,7,sehr wenige
771039,KAEN0,1631,sehr viele
771039,KABAA0,0,sehr wenige
771039,KASCHK0,0,sehr wenige
771039,KAOH0,0,sehr wenige
771040,KAHKO0,0,sehr wenige
771040,KAHM0,0,sehr wenige
771040,KAKIA,0,sehr wenige
771040,KAKIB,0,sehr wenige
771040,KALE0,201,wenige
771040,KABK0,0,sehr wenige
771040,KALK0,0,sehr wenige
771040,KADK0,47,sehr wenige
771040,KAOM0,0,sehr wenige
771040,KAPRK0,0,sehr wenige
771040,KAPK0,0,sehr wenige
771040,KAEH0,192,wenige
771040,KARH0,7,sehr wenige
771040,KARK0,21,sehr wenige
771040,KAEK0,304,viele
771040,KASA0,0,sehr wenige
771040,KAMUS0,0,sehr wenige
771040,KAPAR0,0,sehr wenige
771040,KAEN0,238,mittel
771040,KABAA0,0,sehr wenige
771040,KASCHK0,0,sehr wenige
771040,KAOH0,0,sehr wenige
771041,KAHKO0,0,sehr wenige
771041,KAHM0,0,sehr wenige
771041,KAKIA,0,sehr wenige
771041,KAKIB,0,sehr wenige
771041,KALE0,139,wenige
771041,KABK0,0,sehr wenige
771041,KALK0,0,sehr wenige
771041,KADK0,0,sehr wenige
771041,KAOM0,0,sehr wenige
771041,KAPRK0,0,sehr wenige
771041,KAPK0,0,sehr wenige
771041,KAEH0,93,sehr wenige
771041,KARH0,7,sehr wenige
771041,KARK0,6,sehr wenige
771041,KAEK0,86,sehr wenige
771041,KASA0,0,sehr wenige
771041,KAMUS0,0,sehr wenige
771041,KAPAR0,11,sehr wenige
771041,KAEN0,0,sehr wenige
771041,KABAA0,0,sehr wenige
771041,KASCHK0,0,sehr wenige
771041,KAOH0,0,sehr wenige
771042,KAHKO0,0,sehr wenige
771042,KAHM0,0,sehr wenige
771042,KAKIA,0,sehr wenige
771042,KAKIB,440,sehr viele
771042,KALE0,546,sehr viele
771042,KABK0,144,wenige
771042,KALK0,23,sehr wenige
771042,KADK0,81,sehr wenige
771042,KAOM0,5,sehr wenige
771042,KAPRK0,0,sehr wenige
771042,KAPK0,8,sehr wenige
771042,KAEH0,124,wenige
771042,KARH0,21,sehr wenige
771042,KARK0,31,sehr wenige
771042,KAEK0,86,sehr wenige
771042,KASA0,1025,sehr viele
771042,KAMUS0,33,sehr wenige
771042,KAPAR0,57,sehr wenige
771042,KAEN0,1022,sehr viele
771042,KABAA0,10,sehr wenige
771042,KASCHK0,218,mittel
771042,KAOH0,21,sehr wenige
771043,KAHKO0,0,sehr wenige
771043,KAHM0,0,sehr wenige
771043,KAKIA,0,sehr wenige
771043,KAKIB,0,sehr wenige
771043,KALE0,247,mittel
771043,KABK0,219,mittel
771043,KALK0,0,sehr wenige
771043,KADK0,94,sehr wenige
771043,KAOM0,8,sehr wenige
771043,KAPRK0,0,sehr wenige
771043,KAPK0,9,sehr wenige
771043,KAEH0,761,sehr viele
771043,KARH0,37,sehr wenige
771043,KARK0,55,sehr wenige
771043,KAEK0,621,sehr viele
771043,KASA0,0,sehr wenige
771043,KAMUS0,0,sehr wenige
771043,KAPAR0,23,sehr wenige
771043,KAEN0,1355,sehr viele
771043,KABAA0,0,sehr wenige
771043,KASCHK0,0,sehr wenige
771043,KAOH0,0,sehr wenige
771052,KAHKO0,0,sehr wenige
771052,KAHM0,0,sehr wenige
771052,KAKIA,0,sehr wenige
771052,KAKIB,0,sehr wenige
771052,KALE0,179,wenige
771052,KABK0,0,sehr wenige
771052,KALK0,0,sehr wenige
771052,KADK0,0,sehr wenige
771052,KAOM0,0,sehr wenige
771052,KAPRK0,0,sehr wenige
771052,KAPK0,0,sehr wenige
771052,KAEH0,0,sehr wenige
771052,KARH0,0,sehr wenige
771052,KARK0,0,sehr wenige
771052,KAEK0,0,sehr wenige
771052,KASA0,0,sehr wenige
771052,KAMUS0,0,sehr wenige
771052,KAPAR0,0,sehr wenige
771052,KAEN0,0,sehr wenige
771052,KABAA0,0,sehr wenige
771052,KASCHK0,0,sehr wenige
771052,KAOH0,0,sehr wenige
771053,KAHKO0,0,sehr wenige
771053,KAHM0,0,sehr wenige
771053,KAKIA,0,sehr wenige
771053,KAKIB,193,wenige
771053,KALE0,243,mittel
771053,KABK0,0,sehr wenige
771053,KALK0,0,sehr wenige
771053,KADK0,31,sehr wenige
771053,KAOM0,0,sehr wenige
771053,KAPRK0,0,sehr wenige
771053,KAPK0,0,sehr wenige
771053,KAEH0,84,sehr wenige
771053,KARH0,13,sehr wenige
771053,KARK0,24,sehr wenige
771053,KAEK0,90,sehr wenige
771053,KASA0,106,sehr wenige
771053,KAMUS0,0,sehr wenige
771053,KAPAR0,0,sehr wenige
771053,KAEN0,614,sehr viele
771053,KABAA0,0,sehr wenige
771053,KASCHK0,53,sehr wenige
771053,KAOH0,4,sehr wenige
771054,KAHKO0,0,sehr wenige
771054,KAHM0,0,sehr wenige
771054,KAKIA,0,sehr wenige
771054,KAKIB,0,sehr wenige
771054,KALE0,0,sehr wenige
771054,KABK0,0,sehr wenige
771054,KALK0,0,sehr wenige
771054,KADK0,0,sehr wenige
771054,KAOM0,0,sehr wenige
771054,KAPRK0,0,sehr wenige
771054,KAPK0,0,sehr wenige
771054,KAEH0,0,sehr wenige
771054,KARH0,0,sehr wenige
771054,KARK0,0,sehr wenige
771054,KAEK0,0,sehr wenige
771054,KASA0,0,sehr wenige
771054,KAMUS0,0,sehr wenige
771054,KAPAR0,0,sehr wenige
771054,KAEN0,0,sehr wenige
771054,KABAA0,0,sehr wenige
771054,KASCHK0,0,sehr wenige
771054,KAOH0,0,sehr wenige
771056,KAHKO0,1290,sehr viele
771056,KAHM0,833,sehr viele
771056,KAKIA,894,sehr viele
771056,KAKIB,1196,sehr viele
771056,KALE0,45,sehr wenige
771056,KABK0,0,sehr wenige
771056,KALK0,33,sehr wenige
771056,KADK0,0,sehr wenige
771056,KAOM0,0,sehr wenige
771056,KAPRK0,0,sehr wenige
771056,KAPK0,0,sehr wenige
771056,KAEH0,0,sehr wenige
771056,KARH0,0,sehr wenige
771056,KARK0,0,sehr wenige
771056,KAEK0,0,sehr wenige
771056,KASA0,0,sehr wenige
771056,KAMUS0,0,sehr wenige
771056,KAPAR0,0,sehr wenige
771056,KAEN0,0,sehr wenige
771056,KABAA0,0,sehr wenige
771056,KASCHK0,63,sehr wenige
771056,KAOH0,0,sehr wenige
771057,KAHKO0,0,sehr wenige
771057,KAHM0,0,sehr wenige
771057,KAKIA,0,sehr wenige
771057,KAKIB,345,sehr viele
771057,KALE0,415,sehr viele
771057,KABK0,249,mittel
771057,KALK0,0,sehr wenige
771057,KADK0,81,sehr wenige
771057,KAOM0,28,sehr wenige
771057,KAPRK0,0,sehr wenige
771057,KAPK0,25,sehr wenige
771057,KAEH0,184,wenige
771057,KARH0,6,sehr wenige
771057,KARK0,12,sehr wenige
771057,KAEK0,228,mittel
771057,KASA0,350,sehr viele
771057,KAMUS0,0,sehr wenige
771057,KAPAR0,19,sehr wenige
771057,KAEN0,3526,sehr viele
771057,KABAA0,29,sehr wenige
771057,KASCHK0,446,sehr viele
771057,KAOH0,89,sehr wenige
771059,KAHKO0,0,sehr wenige
771059,KAHM0,0,sehr wenige
771059,KAKIA,0,sehr wenige
771059,KAKIB,0,sehr wenige
771059,KALE0,106,sehr wenige
771059,KABK0,0,sehr wenige
771059,KALK0,0,sehr wenige
771059,KADK0,0,sehr wenige
771059,KAOM0,0,sehr wenige
771059,KAPRK0,0,sehr wenige
771059,KAPK0,0,sehr wenige
771059,KAEH0,0,sehr wenige
771059,KARH0,0,sehr wenige
771059,KARK0,0,sehr wenige
771059,KAEK0,0,sehr wenige
771059,KASA0,0,sehr wenige
771059,KAMUS0,0,sehr wenige
771059,KAPAR0,15,sehr wenige
771059,KAEN0,0,sehr wenige
771059,KABAA0,0,sehr wenige
771059,KASCHK0,0,sehr wenige
771059,KAOH0,0,sehr wenige
771060,KAHKO0,0,sehr wenige
771060,KAHM0,0,sehr wenige
771060,KAKIA,0,sehr wenige
771060,KAKIB,0,sehr wenige
771060,KALE0,0,sehr wenige
771060,KABK0,0,sehr wenige
771060,KALK0,0,sehr wenige
771060,KADK0,0,sehr wenige
771060,KAOM0,0,sehr wenige
771060,KAPRK0,63,sehr wenige
771060,KAPK0,0,sehr wenige
771060,KAEH0,0,sehr wenige
771060,KARH0,0,sehr wenige
771060,KARK0,0,sehr wenige
771060,KAEK0,0,sehr wenige
771060,KASA0,0,sehr wenige
771060,KAMUS0,0,sehr wenige
771060,KAPAR0,0,sehr wenige
771060,KAEN0,0,sehr wenige
771060,KABAA0,0,sehr wenige
771060,KASCHK0,0,sehr wenige
771060,KAOH0,0,sehr wenige
771061,KAHKO0,0,sehr wenige
771061,KAHM0,0,sehr wenige
771061,KAKIA,0,sehr wenige
771061,KAKIB,468,sehr viele
771061,KALE0,595,sehr viele
771061,KABK0,120,wenige
771061,KALK0,25,sehr wenige
771061,KADK0,70,sehr wenige
771061,KAOM0,4,sehr wenige
771061,KAPRK0,27,sehr wenige
771061,KAPK0,0,sehr wenige
771061,KAEH0,385,sehr viele
771061,KARH0,25,sehr wenige
771061,KARK0,23,sehr wenige
771061,KAEK0,240,mittel
771061,KASA0,438,sehr viele
771061,KAMUS0,7,sehr wenige
771061,KAPAR0,9,sehr wenige
771061,KAEN0,1188,sehr viele
771061,KABAA0,4,sehr wenige
771061,KASCHK0,134,wenige
771061,KAOH0,25,sehr wenige
771062,KAHKO0,0,sehr wenige
771062,KAHM0,0,sehr wenige
771062,KAKIA,0,sehr wenige
771062,KAKIB,0,sehr wenige
771062,KALE0,0,sehr wenige
771062,KABK0,0,sehr wenige
771062,KALK0,0,sehr wenige
771062,KADK0,0,sehr wenige
771062,KAOM0,0,sehr wenige
771062,KAPRK0,0,sehr wenige
771062,KAPK0,0,sehr wenige
771062,KAEH0,0,sehr wenige
771062,KARH0,0,sehr wenige
771062,KARK0,0,sehr wenige
771062,KAEK0,0,sehr wenige
771062,KASA0,0,sehr wenige
771062,KAMUS0,0,sehr wenige
771062,KAPAR0,0,sehr wenige
771062,KAEN0,0,sehr wenige
771062,KABAA0,0,sehr wenige
771062,KASCHK0,0,sehr wenige
771062,KAOH0,0,sehr wenige
771064,KAHKO0,0,sehr wenige
771064,KAHM0,0,sehr wenige
771064,KAKIA,0,sehr wenige
771064,KAKIB,0,sehr wenige
771064,KALE0,0,sehr wenige
771064,KABK0,0,sehr wenige
771064,KALK0,0,sehr wenige
771064,KADK0,0,sehr wenige
771064,KAOM0,0,sehr wenige
771064,KAPRK0,0,sehr wenige
771064,KAPK0,0,sehr wenige
771064,KAEH0,559,sehr viele
771064,KARH0,80,sehr wenige
771064,KARK0,71,sehr wenige
771064,KAEK0,524,sehr viele
771064,KASA0,0,sehr wenige
771064,KAMUS0,0,sehr wenige
771064,KAPAR0,0,sehr wenige
771064,KAEN0,0,sehr wenige
771064,KABAA0,0,sehr wenige
771064,KASCHK0,0,sehr wenige
771064,KAOH0,0,sehr wenige
771065,KAHKO0,0,sehr wenige
771065,KAHM0,0,sehr wenige
771065,KAKIA,0,sehr wenige
771065,KAKIB,0,sehr wenige
771065,KALE0,0,sehr wenige
771065,KABK0,0,sehr wenige
771065,KALK0,0,sehr wenige
771065,KADK0,0,sehr wenige
771065,KAOM0,0,sehr wenige
771065,KAPRK0,473,sehr viele
771065,KAPK0,0,sehr wenige
771065,KAEH0,0,sehr wenige
771065,KARH0,0,sehr wenige
771065,KARK0,0,sehr wenige
771065,KAEK0,0,sehr wenige
771065,KASA0,0,sehr wenige
771065,KAMUS0,0,sehr wenige
771065,KAPAR0,0,sehr wenige
771065,KAEN0,0,sehr wenige
771065,KABAA0,0,sehr wenige
771065,KASCHK0,0,sehr wenige
771065,KAOH0,0,sehr wenige
771069,KAHKO0,0,sehr wenige
771069,KAHM0,0,sehr wenige
771069,KAKIA,0,sehr wenige
771069,KAKIB,0,sehr wenige
771069,KALE0,0,sehr wenige
771069,KABK0,0,sehr wenige
771069,KALK0,0,sehr wenige
771069,KADK0,0,sehr wenige
771069,KAOM0,0,sehr wenige
771069,KAPRK0,0,sehr wenige
771069,KAPK0,0,sehr wenige
771069,KAEH0,0,sehr wenige
771069,KARH0,0,sehr wenige
771069,KARK0,0,sehr wenige
771069,KAEK0,0,sehr wenige
771069,KASA0,0,sehr wenige
771069,KAMUS0,873,sehr viele
